Punto de consulta, k=100, k=200, k=300, k=400, k=500, k=600, k=700, k=800, k=900
289, 425, 284: 0.4654, 0.7246, 1.0157, 1.322, 1.6687, 1.9798, 2.2981, 2.753, 2.9793
98, 254, 307: 0.6566, 0.9091, 1.2734, 1.4997, 1.9236, 2.1951, 2.6393, 3.0203, 3.3152
27, 255, 200: 0.5136, 0.6764, 1.163, 1.5748, 1.7548, 1.9691, 2.2182, 2.6555, 3.0472
22, 16, 76: 0.689, 1.0302, 1.3955, 1.5204, 1.8146, 1.997, 2.2993, 2.4331, 2.8632
42, 110, 11: 0.2615, 0.7114, 0.8104, 1.0197, 1.3969, 1.7645, 2.6717, 2.9936, 3.0832
227, 459, 399: 2.1482, 2.3813, 2.6436, 3.3107, 2.9955, 3.2046, 3.7744, 4.4148, 4.8492
350, 223, 134: 0.6375, 1.1637, 1.4637, 1.8687, 2.4605, 2.677, 2.8138, 3.0055, 3.4075
227, 386, 317: 1.477, 1.6632, 1.9877, 2.5139, 3.7074, 4.9915, 5.3124, 6.8674, 7.5362
460, 31, 229: 1.6131, 2.8205, 3.8142, 4.379, 4.8325, 5.2569, 5.0802, 5.4772, 6.4478
212, 472, 396: 3.3131, 3.2978, 3.9918, 4.097, 4.6251, 5.1293, 6.9895, 7.0226, 7.071
