Punto de consulta, k=1000, k=2000, k=3000, k=4000, k=5000, k=6000, k=7000, k=8000, k=9000, k=10000, k=11000, k=12000, k=13000, k=14000, k=15000, k=16000, k=17000, k=18000, k=19000
289, 425, 284: 16.777, 27.5171, 37.5588, 53.9701, 56.6895, 70.3576, 77.2147, 91.1992, 104.5387, 112.8967, 111.11, 127.0518, 139.0367, 135.1564, 142.2303, 166.62, 175.9281, 182.1573, 191.4241
98, 254, 307: 15.3127, 26.2625, 34.5633, 42.7117, 59.6509, 63.0157, 63.4003, 72.2036, 81.2097, 91.3732, 95.3958, 117.9941, 127.4137, 134.5294, 144.5575, 153.965, 162.9486, 147.7633, 175.7381
27, 255, 200: 8.575, 10.5791, 13.9067, 18.9908, 25.3839, 31.62, 44.8813, 49.9332, 53.71, 57.9634, 64.9638, 63.555, 67.6177, 69.1652, 72.4857, 79.2191, 81.6948, 100.9696, 87.2967
22, 16, 76: 6.5005, 11.4224, 18.0321, 26.7794, 38.5997, 45.6057, 56.7129, 54.0204, 65.6197, 66.1039, 81.1424, 73.1876, 78.3305, 92.0026, 84.0437, 87.5893, 93.1525, 109.0648, 113.126
42, 110, 11: 4.5915, 13.9136, 17.4923, 26.0746, 31.8916, 30.3209, 38.7676, 42.182, 49.2725, 52.2654, 46.2525, 52.8121, 56.546, 62.4833, 64.8732, 79.8647, 84.4648, 87.2519, 95.6142
227, 459, 399: 14.7417, 22.2092, 26.5398, 34.0436, 38.3677, 48.4545, 62.3612, 69.875, 78.4302, 71.8925, 90.3571, 97.0125, 104.4421, 128.2611, 121.5904, 138.0305, 150.5632, 176.0619, 180.5046
350, 223, 134: 13.7241, 20.8738, 30.0553, 35.1603, 42.9578, 50.9117, 54.1611, 56.2747, 59.1066, 63.4043, 67.0767, 61.5485, 63.1499, 66.6058, 77.2579, 80.1206, 82.696, 86.812, 98.6302
227, 386, 317: 16.1364, 27.2737, 35.7907, 40.8013, 58.6574, 67.6644, 78.1183, 89.3564, 101.0687, 111.5372, 127.5954, 120.3005, 144.8193, 154.9211, 165.3557, 174.3755, 187.367, 197.0241, 208.2083
460, 31, 229: 14.4882, 24.7946, 32.8023, 48.4874, 57.9996, 67.1079, 79.5727, 93.5369, 103.2295, 113.4136, 121.4719, 129.3333, 134.7566, 140.5084, 150.0957, 134.3169, 159.3065, 169.729, 156.1053
212, 472, 396: 13.6569, 24.0815, 28.1284, 36.2794, 38.1174, 46.221, 55.0408, 59.8478, 66.5355, 91.8529, 88.3393, 111.7871, 106.7152, 115.3708, 123.4086, 139.3554, 167.9294, 159.6484, 188.4906
