CANT TIEMPO
100 5.20158
200 6.15953
300 6.85392
400 7.14544
500 7.41512
600 7.83161
700 7.88153
800 8.13803
900 8.18722
1000 8.40361
1100 8.72542
1200 8.81487
1300 8.67574
1400 8.88144
1500 8.92209
1600 9.12986
1700 9.25587
1800 9.17346
1900 9.34588
2000 9.39969
2100 9.6352
2200 9.71436
2300 9.88396
2400 9.81953
2500 9.89003
2600 9.67499
2700 9.7478
2800 9.87787
2900 9.83863
3000 9.91526
3100 10.0555
3200 10.1258
3300 10.2598
3400 10.2494
3500 10.3299
3600 10.1711
3700 10.2871
3800 10.3467
3900 10.3473
4000 10.3988
4100 10.5133
4200 10.6324
4300 10.7057
4400 10.714
4500 10.7715
4600 10.874
4700 10.7775
4800 10.8176
4900 10.8266
5000 10.8881
5100 10.979
5200 10.6698
5300 10.7466
5400 10.7381
5500 10.838
5600 10.8733
5700 10.7874
5800 10.8398
5900 10.8417
6000 10.9248
6100 10.9536
6200 11.0672
6300 11.1129
6400 11.1201
6500 11.2061
6600 11.2561
6700 11.1964
6800 11.2496
6900 11.3187
7000 11.3229
7100 11.3793
7200 11.1756
7300 11.2164
7400 11.2891
7500 11.2999
7600 11.346
7700 11.2866
7800 11.3547
7900 11.3927
8000 11.3968
8100 11.4365
8200 11.5145
8300 11.5871
8400 11.6363
8500 11.6502
8600 11.6987
8700 11.7645
8800 11.715
8900 11.7657
9000 11.7741
9100 11.8155
9200 11.8705
9300 11.7248
9400 11.7756
9500 11.7867
9600 11.815
9700 11.8691
9800 11.8238
9900 11.8745
10000 11.8979
10100 11.9401
10200 11.9834
10300 11.6414
10400 11.6742
10500 11.6843
10600 11.744
10700 11.7692
10800 11.7461
10900 11.7781
11000 11.8296
11100 11.841
11200 11.8813
11300 11.7536
11400 11.7897
11500 11.8358
11600 11.8391
11700 11.8776
11800 11.8423
11900 11.888
12000 11.9151
12100 11.9156
12200 11.9531
12300 12.0076
12400 12.0558
12500 12.0937
12600 12.1149
12700 12.1534
12800 12.1221
12900 12.1591
13000 12.2038
13100 12.2212
13200 12.257
13300 12.2967
13400 12.2055
13500 12.228
13600 12.2423
13700 12.2746
13800 12.316
13900 12.2926
14000 12.3406
14100 12.3386
14200 12.3865
14300 12.4006
14400 12.1718
14500 12.2076
14600 12.2173
14700 12.2598
14800 12.2923
14900 12.2628
15000 12.2992
15100 12.3281
15200 12.3468
15300 12.3738
15400 12.2914
15500 12.3121
15600 12.3542
15700 12.3572
15800 12.3972
15900 12.369
16000 12.4019
16100 12.4345
16200 12.438
16300 12.4747
16400 12.5016
16500 12.5463
16600 12.5858
16700 12.6076
16800 12.6241
16900 12.6039
17000 12.6627
17100 12.676
17200 12.701
17300 12.7203
17400 12.7577
17500 12.6868
17600 12.7156
17700 12.7332
17800 12.7652
17900 12.7898
18000 12.7797
18100 12.7961
18200 12.8323
18300 12.8482
18400 12.8723
18500 12.6929
18600 12.7239
18700 12.7353
18800 12.7824
18900 12.7988
19000 12.7913
19100 12.8218
19200 12.8225
19300 12.8455
19400 12.8752
19500 12.8035
19600 12.8426
19700 12.8667
19800 12.8816
19900 12.9076
20000 12.8895
20100 12.9108
20200 12.9431
20300 12.9507
20400 12.9861
20500 12.61
20600 12.6536
20700 12.6717
20800 12.6818
20900 12.7014
21000 12.6938
21100 12.7333
21200 12.7466
21300 12.7591
21400 12.7866
21500 12.8094
21600 12.7569
21700 12.7702
21800 12.7863
21900 12.8065
22000 12.8327
22100 12.8221
22200 12.8502
22300 12.8601
22400 12.8703
22500 12.9121
22600 12.7557
22700 12.784
22800 12.7964
22900 12.8172
23000 12.8343
23100 12.8251
23200 12.8483
23300 12.8486
23400 12.8906
23500 12.8831
23600 12.8372
23700 12.8668
23800 12.884
23900 12.8874
24000 12.9185
24100 12.9028
24200 12.9229
24300 12.9433
24400 12.9615
24500 12.9841
24600 13.0051
24700 13.0433
24800 13.0576
24900 13.0693
25000 13.1025
25100 13.1002
25200 13.1108
25300 13.1359
25400 13.1576
25500 13.1741
25600 13.1222
25700 13.1501
25800 13.1707
25900 13.1898
26000 13.2052
26100 13.228
26200 13.2151
26300 13.2577
26400 13.2573
26500 13.2731
26600 13.3045
26700 13.1739
26800 13.1991
26900 13.2114
27000 13.2318
27100 13.2493
27200 13.2462
27300 13.2615
27400 13.2781
27500 13.3058
27600 13.3157
27700 13.2724
27800 13.2953
27900 13.3329
28000 13.3234
28100 13.3327
28200 13.3425
28300 13.3603
28400 13.3859
28500 13.3948
28600 13.4175
28700 13.1473
28800 13.1741
28900 13.1951
29000 13.2015
29100 13.2242
29200 13.2217
29300 13.2448
29400 13.258
29500 13.2625
29600 13.2809
29700 13.2391
29800 13.264
29900 13.285
30000 13.2879
30100 13.3189
30200 13.3305
30300 13.3421
30400 13.3401
30500 13.3551
30600 13.3797
30700 13.3909
30800 13.2892
30900 13.3076
31000 13.3133
31100 13.3392
31200 13.3536
31300 13.3427
31400 13.366
31500 13.3748
31600 13.3902
31700 13.4095
31800 13.367
31900 13.384
32000 13.3933
32100 13.4217
32200 13.4297
32300 13.4266
32400 13.4322
32500 13.4664
32600 13.4758
32700 13.4775
32800 13.5119
32900 13.5128
33000 13.5607
33100 13.5615
33200 13.5819
33300 13.5742
33400 13.5989
33500 13.6161
33600 13.6253
33700 13.6437
33800 13.6048
33900 13.6406
34000 13.6484
34100 13.6543
34200 13.6879
34300 13.7022
34400 13.6975
34500 13.7102
34600 13.7239
34700 13.7307
34800 13.7592
34900 13.6564
35000 13.6853
35100 13.6863
35200 13.7079
35300 13.724
35400 13.7278
35500 13.7466
35600 13.7684
35700 13.7821
35800 13.7865
35900 13.7629
36000 13.7937
36100 13.7796
36200 13.8092
36300 13.8145
36400 13.8222
36500 13.8251
36600 13.8616
36700 13.8649
36800 13.8801
36900 13.676
37000 13.6883
37100 13.714
37200 13.7203
37300 13.7405
37400 13.7379
37500 13.7542
37600 13.7759
37700 13.7761
37800 13.7947
37900 13.7543
38000 13.7795
38100 13.7906
38200 13.795
38300 13.8131
38400 13.8224
38500 13.8427
38600 13.8595
38700 13.8572
38800 13.8693
38900 13.8915
39000 13.8063
39100 13.8191
39200 13.8386
39300 13.8565
39400 13.8668
39500 13.8601
39600 13.8791
39700 13.8827
39800 13.9031
39900 13.9131
40000 13.8762
40100 13.888
40200 13.9063
40300 13.9285
40400 13.9326
