CANT TIEMPO
100 106.149
200 93.2127
300 92.9111
400 101.682
500 107.472
600 89.2265
700 171.959
800 122.391
900 175.936
1000 189.04
1100 176.706
1200 173.201
1300 157.209
1400 134.732
1500 250.169
1600 187.162
1700 173.616
1800 188.714
1900 187.826
2000 190.282
2100 156.018
2200 213.613
2300 156.272
2400 189.914
2500 187.158
2600 119.36
2700 116.704
2800 126.94
2900 156.286
3000 117.773
3100 114.114
3200 110.951
3300 115.99
3400 115.925
3500 127.954
3600 127.406
3700 151.285
3800 196.87
3900 191.608
4000 192.462
4100 189.972
4200 206.281
4300 200.641
4400 178.599
4500 192.097
4600 184.068
4700 187.86
4800 186.559
4900 222.61
5000 238.193
5100 235.464
5200 211.34
5300 161.569
5400 150.399
5500 146.499
5600 127.553
5700 133.01
5800 237.895
5900 158.287
6000 227.275
6100 199.162
6200 203.468
6300 220.077
6400 233.919
6500 239.588
6600 225.428
6700 234.04
6800 223.146
6900 219.119
7000 197.388
7100 198.078
7200 211.762
7300 240.403
7400 263.621
7500 141.475
7600 147.083
7700 117.233
7800 117.467
7900 137.235
8000 128.068
8100 167.578
8200 171.197
8300 150.511
8400 208.096
8500 158.924
8600 139.142
8700 112.133
8800 131.544
8900 218.004
9000 125.917
9100 132.221
9200 116.263
9300 127.374
9400 123.571
9500 136.915
9600 117.521
9700 133.415
9800 113.202
9900 121.399
10000 122.185
